  1	  2-H 	  1	p	  2223.248	     2223.25  	     0.33260000	           0.3326(7)	     Stable	 0.00E+00	          1.0000(21)                                  
  3	  4-He	  2	p	 20520.460	    20520.46  	       4.20E-11	         4.2E-11(12)	     Stable	 0.00E+00	          3.2E-11(9)                                  
  7	  8-Li	  3	p	   980.530	     980.53(7)	     0.00415000	         0.00415(13)	     Stable	 0.00E+00	          0.00181(6)                                  
  7	  8-Li	  3	p	  1051.900	    1051.90(7)	     0.00414000	         0.00414(12)	     Stable	 0.00E+00	          0.00181(5)                                  
  7	  8-Li	  3	p	  2032.300	    2032.30(4)	     0.03810000	           0.0381(8)	     Stable	 0.00E+00	           0.0166(4)                                  
  9	 10-Be	  4	p	  3367.448	  3367.448(25)	     0.00285000	         0.00285(22)	     Stable	 0.00E+00	          0.00096(7)                                  
  9	 10-Be	  4	p	  2590.014	  2590.014(19)	     0.00191000	         0.00191(15)	     Stable	 0.00E+00	          0.00064(5)                                  
  9	 10-Be	  4	p	   853.630	   853.630(12)	     0.00208000	         0.00208(24)	     Stable	 0.00E+00	          0.00070(8)                                  
  9	 10-Be	  4	p	  3443.406	  3443.406(20)	     0.00098000	          0.00098(7)	     Stable	 0.00E+00	        0.000330(24)                                  
  9	 10-Be	  4	p	  6809.610	    6809.61(3)	     0.00580000	           0.0058(5)	     Stable	 0.00E+00	         0.00195(17)                                  
 10	 11-B 	  5	p	   477.595	    477.595(3)	   716.00000000	             716(25)	     Stable	 0.00E+00	              201(7)                                  
 12	 13-C 	  6	p	  3683.920	   3683.920(9)	     0.00122000	          0.00122(3)	     Stable	 0.00E+00	         0.000308(8)                                  
 12	 13-C 	  6	p	  1261.765	   1261.765(9)	     0.00124000	          0.00124(3)	     Stable	 0.00E+00	         0.000313(8)                                  
 12	 13-C 	  6	p	  4945.301	   4945.301(3)	     0.00261000	          0.00261(5)	     Stable	 0.00E+00	        0.000659(13)                                  
 14	 15-N 	  7	p	  5269.159	  5269.159(13)	     0.02360000	           0.0236(3)	     Stable	 0.00E+00	          0.00511(7)                                  
 14	 15-N 	  7	p	  5297.821	  5297.821(15)	     0.01680000	         0.01680(23)	     Stable	 0.00E+00	          0.00363(5)                                  
 14	 15-N 	  7	p	  6322.428	  6322.428(12)	     0.01450000	         0.01450(22)	     Stable	 0.00E+00	          0.00314(5)                                  
 14	 15-N 	  7	p	  1884.821	  1884.821(16)	     0.01470000	         0.01470(18)	     Stable	 0.00E+00	          0.00318(4)                                  
 14	 15-N 	  7	p	  7298.983	  7298.983(17)	     0.00746000	         0.00746(12)	     Stable	 0.00E+00	          0.00161(3)                                  
 14	 15-N 	  7	p	  8310.161	  8310.161(19)	     0.00330000	          0.00330(6)	     Stable	 0.00E+00	        0.000714(13)                                  
 14	 15-N 	  7	p	  1999.690	  1999.690(16)	     0.00323000	          0.00323(4)	     Stable	 0.00E+00	         0.000699(9)                                  
 14	 15-N 	  7	p	  1678.281	  1678.281(14)	     0.00630000	           0.0063(3)	     Stable	 0.00E+00	          0.00136(7)                                  
 14	 15-N 	  7	p	  2520.457	  2520.457(17)	     0.00441000	         0.00441(24)	     Stable	 0.00E+00	          0.00095(5)                                  
 14	 15-N 	  7	p	  3531.981	  3531.981(15)	     0.00710000	           0.0071(4)	     Stable	 0.00E+00	          0.00154(9)                                  
 14	 15-N 	  7	p	  3677.732	  3677.732(13)	     0.01150000	           0.0115(6)	     Stable	 0.00E+00	         0.00249(13)                                  
 14	 15-N 	  7	p	  4508.731	  4508.731(12)	     0.01320000	           0.0132(7)	     Stable	 0.00E+00	         0.00286(15)                                  
 14	 15-N 	  7	p	  5533.395	  5533.395(14)	     0.01550000	           0.0155(8)	     Stable	 0.00E+00	         0.00335(17)                                  
 14	 15-N 	  7	p	  5562.057	  5562.057(13)	     0.00840000	           0.0084(5)	     Stable	 0.00E+00	         0.00182(11)                                  
 14	 15-N 	  7	p	 10829.120	 10829.120(12)	     0.01130000	           0.0113(8)	     Stable	 0.00E+00	         0.00244(17)                                  
 16	 17-O 	  8	p	   870.680	     870.68(6)	     0.00017700	        1.77E-04(11)	     Stable	 0.00E+00	        3.35E-05(21)                                  
 16	 17-O 	  8	p	  2184.420	    2184.42(7)	     0.00016400	         1.64E-04(7)	     Stable	 0.00E+00	        3.11E-05(13)                                  
 16	 17-O 	  8	p	  1087.750	    1087.75(6)	     0.00015800	         1.58E-04(7)	     Stable	 0.00E+00	        2.99E-05(13)                                  
 16	 17-O 	  8	p	  3272.020	    3272.02(8)	     0.00003530	        3.53E-05(23)	     Stable	 0.00E+00	          6.7E-06(4)                                  
