H 	  1-H 	1	1	   99.9885(70)      	99.9885	0.007	    0.3326(7)       	3.326E-01	7.00E-04	0.999	1
H 	  2-H 	1	2	    0.0115(70)      	0.0115	0.007	    0.000519(7)     	5.190E-04	7.00E-06	1	1
He	  3-He	2	3	    0.000137(3)     	0.000137	0.000003	    0.000031(9)     	3.100E-05	9.00E-06	1	1
He	  4-He	2	4	   99.999863(3)     	99.999863	0.000003	0	           	      	1	0
Li	  6-Li	3	6	    7.59(4)         	7.59	0.04	    0.039(4)        	3.860E-02	3.60E-03	1	3
Li	  7-Li	3	7	   92.41(4)         	92.41	0.04	    0.045(3)        	4.540E-02	3.00E-03	1	3
Be	  9-Be	4	9	100	100		    0.0088(4)       	8.770E-03	3.50E-04	1	13
B 	 10-B 	5	10	   19.9(7)          	19.9	0.7	    0.5(1)          	5.000E-01	1.00E-01	1	10
B 	 11-B 	5	11	   80.1(7)          	80.1	0.7	    0.005(3)        	5.500E-03	3.30E-03	1	0
C 	 12-C 	6	12	   98.93(8)         	98.93	0.08	    0.00353(5)      	3.530E-03	5.00E-05	1	6
C 	 13-C 	6	13	    1.07(8)         	1.07	0.08	    0.00137(4)      	1.370E-03	4.00E-05	0.998	7
N 	 14-N 	7	14	   99.632(7)        	99.632	0.007	    0.0798(14)      	7.980E-02	1.40E-03	1	60
N 	 15-N 	7	15	    0.368(7)        	0.368	0.007	    0.000024(8)     	2.400E-05	8.00E-06	1.003	12
O 	 16-O 	8	16	   99.757(16)       	99.757	0.016	    0.000190(19)    	1.900E-04	1.90E-05	1	4
O 	 17-O 	8	17	    0.038(1)        	0.038	0.001	    0.00054(7)      	5.380E-04	6.50E-05	0.999	20
O 	 18-O 	8	18	    0.205(14)       	0.205	0.014	    0.00016(1)      	1.600E-04	1.00E-05	1	13
F 	 19-F 	9	19	100	100		    0.0096(5)       	9.600E-03	5.00E-04	1	168
Ne	 20-Ne	10	20	   90.48(3)         	90.48	0.03	    0.037(4)        	3.700E-02	4.00E-03	1	27
Ne	 21-Ne	10	21	    0.27(1)         	0.27	0.01	    0.67(11)        	6.660E-01	1.10E-01	1	11
Ne	 22-Ne	10	22	    9.25(3)         	9.25	0.03	    0.045(6)        	4.550E-02	6.00E-03	1	15
Na	 23-Na	11	23	100	100		    0.530(5)        	5.300E-01	5.00E-03	1	240
Mg	 24-Mg	12	24	   78.99(4)         	78.99	0.04	    0.0536(15)      	5.360E-02	1.50E-03	1.001	35
Mg	 25-Mg	12	25	   10.00(1)         	10	0.01	    0.200(5)        	2.000E-01	5.00E-03	1.001	206
Mg	 26-Mg	12	26	   11.01(3)         	11.01	0.03	    0.0386(6)       	3.860E-02	6.00E-04	1.001	44
Al	 27-Al	13	27	100	100		    0.231(3)        	2.310E-01	3.00E-03	1	216
Si	 28-Si	14	28	   92.2297(7)       	92.2297	0.0007	    0.177(5)        	1.770E-01	5.00E-03	1.001	46
