 Iso   Z  E(gamma)   DE     Sigma    DSigma      T1/2     T1/2(s)  dT1/2(s)  mode
 16N   7  6128.630   .040  5.90E-08  1.19E-09     7.13 S  7.13E+00  2.00E-02 B-
 16N   7   787.200   .600  2.60E-15  4.78E-17     7.13 S  7.13E+00  2.00E-02 B-
 16N   7   867.700   .100  8.49E-14  2.38E-15     7.13 S  7.13E+00  2.00E-02 B-
 16N   7  6915.500   .600  3.30E-11  5.04E-12     7.13 S  7.13E+00  2.00E-02 B-
 16N   7   986.930   .150  3.00E-12  7.02E-13     7.13 S  7.13E+00  2.00E-02 B-
 16N   7  1067.500  1.000  2.60E-14  4.78E-16     7.13 S  7.13E+00  2.00E-02 B-
 16N   7  7115.150   .140  4.30E-09  4.08E-10     7.13 S  7.13E+00  2.00E-02 B-
 16N   7  1754.900   .600  1.07E-10  9.21E-12     7.13 S  7.13E+00  2.00E-02 B-
 16N   7  1954.700   .800  3.30E-11  5.04E-12     7.13 S  7.13E+00  2.00E-02 B-
 16N   7  2741.500   .500  7.20E-10  5.17E-11     7.13 S  7.13E+00  2.00E-02 B-
 16N   7  2822.200  1.200  1.10E-10  4.01E-11     7.13 S  7.13E+00  2.00E-02 B-
 16N   7  8869.300   .500  6.70E-11  9.08E-12     7.13 S  7.13E+00  2.00E-02 B-
 19O   8   109.894   .005  8.30E-09  6.36E-10    26.88 S  2.69E+01  5.00E-02 B-
 19O   8   197.142   .004  3.15E-07  2.24E-08    26.88 S  2.69E+01  5.00E-02 B-
 19O   8  1149.000   .000  1.60E-12  1.08E-13    26.88 S  2.69E+01  5.00E-02 B-
 19O   8  1236.000   .000  5.60E-11  7.96E-12    26.88 S  2.69E+01  5.00E-02 B-
 19O   8  1356.843   .008  1.66E-07  1.19E-08    26.88 S  2.69E+01  5.00E-02 B-
 19O   8  1444.085   .010  8.67E-09  6.19E-10    26.88 S  2.69E+01  5.00E-02 B-
 19O   8  1553.970   .008  4.57E-09  3.25E-10    26.88 S  2.69E+01  5.00E-02 B-
 19O   8  2582.517   .033  6.21E-11  4.49E-12    26.88 S  2.69E+01  5.00E-02 B-
 19O   8  2353.980   .260  5.90E-12  8.94E-13    26.88 S  2.69E+01  5.00E-02 B-
 19O   8  3710.640   .200  3.60E-12  5.56E-13    26.88 S  2.69E+01  5.00E-02 B-
 19O   8  3797.870   .200  4.40E-12  5.82E-13    26.88 S  2.69E+01  5.00E-02 B-
 19O   8  3907.740   .200  1.26E-11  1.04E-12    26.88 S  2.69E+01  5.00E-02 B-
 19O   8  4180.063   .041  2.60E-10  1.86E-11    26.88 S  2.69E+01  5.00E-02 B-
 20F   9  1633.530   .030  9.60E-03  4.00E-04   11.163 S  1.12E+01  8.00E-03 B-
 20F   9  3332.540   .200  7.90E-07  6.00E-08   11.163 S  1.12E+01  8.00E-03 B-
 20F   9  4965.850   .200  5.00E-09  2.00E-09   11.163 S  1.12E+01  8.00E-03 B-
 23NE 10   439.986   .000  1.40E-03  5.18E-06    37.24 S  3.72E+01  1.20E-01 B-
 23NE 10  1635.960   .000  4.10E-05  1.41E-06    37.24 S  3.72E+01  1.20E-01 B-
 23NE 10  2075.910   .000  4.20E-06  3.00E-07    37.24 S  3.72E+01  1.20E-01 B-
 23NE 10  2541.920   .000  1.12E-06  8.01E-08    37.24 S  3.72E+01  1.20E-01 B-
 23NE 10  2981.850   .000  1.57E-06  8.02E-08    37.24 S  3.72E+01  1.20E-01 B-
 24NA 11  1368.660   .030  5.30E-01  8.00E-03  14.9590 H  5.39E+04  4.32E+00 B-
 24NA 11  2754.130   .060  5.30E-01  8.00E-03  14.9590 H  5.39E+04  4.32E+00 B-
 24NA 11  2869.500   .000  1.60E-06  5.00E-07  14.9590 H  5.39E+04  4.32E+00 B-
 24NA 11  4237.960   .000  5.82E-06  1.30E-07  14.9590 H  5.39E+04  4.32E+00 B-
 24NA 11   996.820   .000  7.70E-06  1.30E-06  14.9590 H  5.39E+04  4.32E+00 B-
 24NA 11  3866.190   .000  2.80E-04  4.00E-05  14.9590 H  5.39E+04  4.32E+00 B-
 24NA 11   472.202   .009  4.78E-01  4.00E-03   20.20 MS  2.02E-02  7.00E-05 IT
 27MG 12   843.710   .030  2.98E-03  1.40E-04    9.462 M  5.68E+02  6.60E-01 B-
 27MG 12   170.686   .015  3.30E-05  7.00E-06    9.462 M  5.68E+02  6.60E-01 B-
 27MG 12  1014.300   .040  1.17E-03  6.00E-05    9.462 M  5.68E+02  6.60E-01 B-
 28AL 13  1778.920   .030  2.32E-01  4.00E-03   2.2414 M  1.34E+02  6.00E-03 B-
 31SI 14  1266.150   .100  2.50E-06  4.00E-07    157.3 M  9.44E+03  1.80E+01 B-
 37S  16  3086.000   .000  1.90E-08  1.12E-08     5.05 M  3.03E+02  1.20E+00 B-
 37S  16  3103.360   .000  2.82E-05  1.41E-05     5.05 M  3.03E+02  1.20E+00 B-
 37S  16  3741.020   .000  7.90E-08  4.03E-08     5.05 M  3.03E+02  1.20E+00 B-
 37S  16   906.360   .000  1.60E-08  8.25E-09     5.05 M  3.03E+02  1.20E+00 B-
