1	  2-H 	1	p	2223.24835(9)	2223.248	           0.3326(7)	0.3326	7.00E-04	          1.0000(21)	1.00E+00	2.10E-03
2	  3-H 	1	p	   6250.243(3)	6250.243	         0.000519(7)	0.000519	7.00E-06	        0.001560(21)	1.56E-03	2.10E-05
3	  4-He	2	p	20520.46	20520.46	         4.2E-11(12)	4.20E-11	1.20E-11	          3.2E-11(9)	3.18E-11	9.09E-12
6	  7-Li	3	p	    477.595(3)	477.595	          0.00153(8)	0.00153	8.00E-05	          0.00067(4)	6.68E-04	3.49E-05
6	  7-Li	3	p	    6768.81(4)	6768.81	          0.00151(9)	0.00151	9.00E-05	          0.00066(4)	6.59E-04	3.93E-05
6	  7-Li	3	p	    7245.91(4)	7245.91	         0.00247(14)	0.00247	1.40E-04	          0.00108(6)	1.08E-03	6.11E-05
7	  8-Li	3	p	     980.53(7)	980.53	         0.00415(13)	0.00415	1.30E-04	          0.00181(6)	1.81E-03	5.68E-05
7	  8-Li	3	p	    1051.90(7)	1051.9	         0.00414(12)	0.00414	1.20E-04	          0.00181(5)	1.81E-03	5.24E-05
7	  8-Li	3	p	    2032.30(4)	2032.3	           0.0381(8)	0.0381	8.00E-04	           0.0166(4)	1.66E-02	3.49E-04
9	 10-Be	4	p	    219.40(10)	219.4	          4.5E-06(6)	0.0000045	6.00E-07	        1.51E-06(20)	1.51E-06	2.02E-07
9	 10-Be	4	p	    304.24(13)	304.24	          2.3E-06(5)	0.0000023	5.00E-07	         7.7E-07(17)	7.73E-07	1.68E-07
9	 10-Be	4	p	     547.55(4)	547.55	        1.09E-05(10)	0.0000109	1.00E-06	          3.7E-06(3)	3.67E-06	3.36E-07
9	 10-Be	4	p	     631.92(4)	631.92	          1.8E-05(4)	0.000018	4.00E-06	         6.1E-06(13)	6.05E-06	1.35E-06
9	 10-Be	4	p	   853.630(12)	853.63	         0.00208(24)	0.00208	2.40E-04	          0.00070(8)	6.99E-04	8.07E-05
9	 10-Be	4	p	  2590.014(19)	2590.014	         0.00191(15)	0.00191	1.50E-04	          0.00064(5)	6.42E-04	5.04E-05
9	 10-Be	4	p	    2811.68(5)	2811.68	        1.05E-05(12)	0.0000105	1.20E-06	          3.5E-06(4)	3.53E-06	4.04E-07
9	 10-Be	4	p	    2896.02(4)	2896.02	        1.16E-05(13)	0.0000116	1.30E-06	          3.9E-06(4)	3.90E-06	4.37E-07
9	 10-Be	4	p	  3367.448(25)	3367.448	         0.00285(22)	0.00285	2.20E-04	          0.00096(7)	9.58E-04	7.40E-05
9	 10-Be	4	p	  3443.406(20)	3443.406	          0.00098(7)	0.00098	7.00E-05	        0.000330(24)	3.30E-04	2.35E-05
9	 10-Be	4	p	    5956.53(3)	5956.53	        1.46E-04(12)	0.000146	1.20E-05	          4.9E-05(4)	4.91E-05	4.04E-06
9	 10-Be	4	p	   5958.85(12)	5958.85	          6.8E-06(8)	0.0000068	8.00E-07	          2.3E-06(3)	2.29E-06	2.69E-07
9	 10-Be	4	p	    6809.61(3)	6809.61	           0.0058(5)	0.0058	5.00E-04	         0.00195(17)	1.95E-03	1.68E-04
10	 11-B 	5	p	    477.595(3)	477.595	             716(25)	716	2.50E+01	              201(7)	2.01E+02	7.01E+00
10	 11-B 	5	p	   2296.63(13)	2296.63	          0.0054(12)	0.0054	1.20E-03	           0.0015(3)	1.51E-03	3.36E-04
10	 11-B 	5	p	   2533.35(18)	2533.35	          0.0083(12)	0.0083	1.20E-03	           0.0023(3)	2.33E-03	3.36E-04
10	 11-B 	5	p	   4444.03(11)	4444.03	            0.039(3)	0.039	3.00E-03	           0.0109(8)	1.09E-02	8.41E-04
10	 11-B 	5	p	     4474.5(3)	4474.5	          0.00045(7)	0.00045	7.00E-05	        1.26E-04(20)	1.26E-04	1.96E-05
10	 11-B 	5	p	   4711.18(10)	4711.18	          0.0155(12)	0.0155	1.20E-03	           0.0043(3)	4.34E-03	3.36E-04
10	 11-B 	5	p	   6739.67(17)	6739.67	          0.0113(10)	0.0113	1.00E-03	           0.0032(3)	3.17E-03	2.80E-04
10	 11-B 	5	p	    7006.75(9)	7006.75	          0.0327(24)	0.0327	2.40E-03	           0.0092(7)	9.17E-03	6.73E-04
10	 11-B 	5	p	   8916.60(19)	8916.6	           0.0077(8)	0.0077	8.00E-04	         0.00216(22)	2.16E-03	2.24E-04
10	 11-B 	5	p	  11447.75(14)	11447.75	           0.0028(3)	0.0028	3.00E-04	          0.00078(8)	7.85E-04	8.41E-05
12	 13-C 	6	p	    595.015(9)	595.015	          9.5E-06(4)	0.0000095	4.00E-07	        2.40E-06(10)	2.40E-06	1.01E-07
12	 13-C 	6	p	   1261.765(9)	1261.765	          0.00124(3)	0.00124	3.00E-05	         0.000313(8)	3.13E-04	7.57E-06
12	 13-C 	6	p	   1856.717(9)	1856.717	          6.2E-06(4)	0.0000062	4.00E-07	        1.56E-06(10)	1.56E-06	1.01E-07
12	 13-C 	6	p	   3089.057(9)	3089.057	         1.65E-05(8)	0.0000165	8.00E-07	        4.16E-06(20)	4.16E-06	2.02E-07
12	 13-C 	6	p	   3683.920(9)	3683.92	          0.00122(3)	0.00122	3.00E-05	         0.000308(8)	3.08E-04	7.57E-06
12	 13-C 	6	p	   4945.301(3)	4945.301	          0.00261(5)	0.00261	5.00E-05	        0.000659(13)	6.59E-04	1.26E-05
13	 14-C 	6	p	    495.71(17)	495.71	         1.04E-06(5)	0.00000104	5.00E-08	        2.62E-07(13)	2.62E-07	1.26E-08
13	 14-C 	6	p	    808.82(15)	808.82	          4.7E-07(3)	0.00000047	3.00E-08	         1.19E-07(8)	1.19E-07	7.57E-09
13	 14-C 	6	p	   1273.82(13)	1273.82	          6.4E-07(9)	0.00000064	9.00E-08	        1.61E-07(23)	1.61E-07	2.27E-08
13	 14-C 	6	p	   1586.91(14)	1586.91	         1.10E-06(6)	0.0000011	6.00E-08	        2.78E-07(15)	2.78E-07	1.51E-08
13	 14-C 	6	p	   2082.56(13)	2082.56	          3.2E-07(5)	0.00000032	5.00E-08	         8.1E-08(13)	8.07E-08	1.26E-08
13	 14-C 	6	p	   6092.46(17)	6092.46	         2.12E-06(9)	0.00000212	9.00E-08	        5.35E-07(23)	5.35E-07	2.27E-08
13	 14-C 	6	p	   8174.04(18)	8174.04	         1.09E-05(6)	0.0000109	6.00E-07	        2.75E-06(15)	2.75E-06	1.51E-07
14	 15-N 	7	p	     131.59(7)	131.59	          1.4E-05(3)	0.000014	3.00E-06	          3.0E-06(7)	3.03E-06	6.49E-07
14	 15-N 	7	p	      383.0(3)	383	         5.5E-06(24)	0.0000055	2.40E-06	          1.2E-06(5)	1.19E-06	5.19E-07
14	 15-N 	7	p	     583.59(3)	583.59	        0.000429(14)	0.000429	1.40E-05	          9.3E-05(3)	9.28E-05	3.03E-06
14	 15-N 	7	p	    608.28(12)	608.28	         2.5E-05(10)	0.000025	1.00E-05	         5.4E-06(22)	5.41E-06	2.16E-06
14	 15-N 	7	p	     767.82(5)	767.82	          5.1E-05(3)	0.000051	3.00E-06	         1.10E-05(7)	1.10E-05	6.49E-07
14	 15-N 	7	p	     769.92(4)	769.92	            8E-06(3)	0.000008	3.00E-06	          1.7E-06(7)	1.73E-06	6.49E-07
14	 15-N 	7	p	   831.218(17)	831.218	          3.7E-05(6)	0.000037	6.00E-06	         8.0E-06(13)	8.01E-06	1.30E-06
14	 15-N 	7	p	     908.41(4)	908.41	         1.27E-04(4)	0.000127	4.00E-06	         2.75E-05(9)	2.75E-05	8.65E-07
14	 15-N 	7	p	   976.996(18)	976.996	          2.8E-05(9)	0.000028	9.00E-06	         6.1E-06(19)	6.06E-06	1.95E-06
14	 15-N 	7	p	  1011.706(20)	1011.706	         1.08E-04(4)	0.000108	4.00E-06	         2.34E-05(9)	2.34E-05	8.65E-07
14	 15-N 	7	p	  1024.995(17)	1024.995	        1.26E-05(24)	0.0000126	2.40E-06	          2.7E-06(5)	2.73E-06	5.19E-07
14	 15-N 	7	p	  1053.666(16)	1053.666	          1.2E-05(3)	0.000012	3.00E-06	          2.6E-06(7)	2.60E-06	6.49E-07
14	 15-N 	7	p	   1073.00(11)	1073	          6.9E-05(4)	0.000069	4.00E-06	         1.49E-05(9)	1.49E-05	8.65E-07
14	 15-N 	7	p	   1610.75(11)	1610.75	          5.8E-05(6)	0.000058	6.00E-06	        1.25E-05(13)	1.25E-05	1.30E-06
14	 15-N 	7	p	    1612.15(4)	1612.15	         9.5E-05(11)	0.000095	1.10E-05	        2.06E-05(24)	2.06E-05	2.38E-06
